Unnamed: 0,STT,Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4,Quý,Năm,Trạng thái kiểm toán,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu thuần,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,Doanh thu hoạt động tài chính,Chi phí tài chính,Trong đó: Chi phí lãi vay,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý doanh  nghiệp,Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận khác,Lãi/ lỗ từ công ty liên doanh (trước 2015),Tổng lợi nhuận kế toán trước thuế,Chi phí thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi ích của cổ đông thiểu số,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu,Lãi trước thuế,Khấu hao TSCĐ,Tổng lợi nhuận kế toán trước thuế,Lợi nhuận sau thuế thu nhập doanh nghiệp
5,1,A32,Công ty 32,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Giầy dép,5,2020,Đã kiểm toán,728582496415.00,728581046415.00,79596121017.00,9381676739.00,-924890156.00,0.00,0.00,-5218939576.00,-32226921969.00,50607046055.00,-23968920.00,0.00,50583077135.00,-8476049967.00,42107027168.00,0.00,42107027168.00,5604.00,,,51462500000.00,41170000000.00
5,1,A32,Công ty 32,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Giầy dép,5,2021,Đã kiểm toán,650148136248.00,650148136248.00,71416360991.00,7638558828.00,-406023529.00,0.00,0.00,-4750944770.00,-33817431627.00,40080519893.00,1669476035.00,0.00,41749995928.00,-7140739186.00,34609256742.00,0.00,34609256742.00,4134.00,,,41515000000.00,33212000000.00
5,1,A32,Công ty 32,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Giầy dép,5,2022,Đã kiểm toán,719280459321.00,719280459321.00,93373883385.00,13562826157.00,-1296492589.00,0.00,0.00,-5894142351.00,-56306851021.00,43439223581.00,413151019.00,0.00,43852374600.00,-7185641155.00,36666733445.00,0.00,36666733445.00,4289.00,,,45146000000.00,36116800000.00
5,1,A32,Công ty 32,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Giầy dép,5,2023,Đã kiểm toán,719516620989.00,719516620989.00,83084840309.00,14009961405.00,-145074523.00,0.00,0.00,-5331702637.00,-44306626843.00,47311397711.00,-455447985.00,0.00,46855949726.00,-7226764138.00,39629185588.00,0.00,39629185588.00,4725.00,,,45146000000.00,36116800000.00
5,1,A32,Công ty 32,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Giầy dép,,,,,,,,,,,,,,,,,,,,,,,,45146000000.00,36116800000.00
5,2,AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",5,2020,Chưa kiểm toán,7438249657913.00,7428557015044.00,776935221364.00,168671082125.00,-228577022279.00,-201246469116.00,16704296145.00,-255844520030.00,-166965892910.00,310923164415.00,7825352131.00,0.00,318748516546.00,-35575705867.00,283172810679.00,20931991942.00,262240818737.00,1310.00,318748516546.00,287129075280.00,687500000000.00,550000000000.00
5,2,AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",5,2021,Chưa kiểm toán,13154009928330.00,13143109864001.00,1301375383462.00,213876129052.00,-199733463745.00,-151665660549.00,22873141538.00,-738538104564.00,-194751557339.00,405101528404.00,-7233476408.00,0.00,397868051996.00,-73725027577.00,324143024419.00,33902012122.00,290241012297.00,813.00,397868051996.00,315934993090.00,658750000000.00,527000000000.00
5,2,AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",5,2022,Chưa kiểm toán,15314698238896.00,15290297073087.00,1086239883713.00,214482862553.00,-257402705272.00,-173679772675.00,57678939569.00,-666097260650.00,-247607549844.00,187294170069.00,-1228058366.00,0.00,186066111703.00,-68774843766.00,117291267937.00,-35308063779.00,152599331716.00,433.00,186066111703.00,311000570200.00,625000000000.00,500000000000.00
5,2,AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",5,2023,Đã kiểm toán,12628191473898.00,12621514144947.00,1108693322770.00,242681115061.00,-239294342399.00,-190476045845.00,52941132765.00,-511055878824.00,-285281847427.00,368683501946.00,9212053003.00,0.00,377895554949.00,-68701731815.00,309193823134.00,19783274450.00,289410548684.00,757.00,377895554949.00,330970771702.00,625000000000.00,500000000000.00
5,2,AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",5,2024,Chưa kiểm toán,12787838156129.00,12782355466948.00,1488874039290.00,271169064351.00,-209308504318.00,-159531127377.00,56719757316.00,-721559435098.00,-475034419299.00,410860502242.00,-2930797432.00,0.00,407929704810.00,-97802812463.00,310126892347.00,-51706773005.00,361833665352.00,0.00,407929704810.00,392935082692.00,625000000000.00,500000000000.00
