Unnamed: 0,STT,Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4,Quý,Năm,Trạng thái kiểm toán,Tổng lợi nhuận kế toán trước thuế,Khấu hao TSCĐ,Lãi/(lỗ) trước những thay đổi vốn lưu động,Lưu chuyển tiền tệ ròng từ các hoạt động sản xuất kinh doanh (TT),"Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác (TT)","Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác (TT)","Tiền chi cho vay, mua các công cụ nợ của đợn vị khác (TT)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (TT)",Lưu chuyển tiền tệ ròng từ hoạt động đầu tư (TT),"Tiền thu từ phát hành cổ phiếu, nhận góp vốn của chủ sở hữu (TT)","Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành (TT)",Tiền thu được các khoản đi vay (TT),Tiền trả nợ gốc vay (TT),Tiền thanh toán vốn gốc đi thuê tài chính (TT),Cổ tức đã trả (TT),Lưu chuyển tiền tệ từ hoạt động tài chính (TT),Lưu chuyển tiền thuần trong kỳ (TT),Tiền và tương đương tiền đầu kỳ (TT),Ảnh hưởng của chênh lệch tỷ giá (TT),Tiền và tương đương tiền cuối kỳ (TT)
5,1,A32,Công ty 32,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Giầy dép,5,2020,Đã kiểm toán,51462500000.00,,,4279750731.00,-5442645248.00,9090909.00,0.00,0.00,3292741725.00,0.00,0.00,36965000000.00,-45686758876.00,0.00,-14960000000.00,-23681758876.00,-16109266420.00,60513753437.00,-45406231.00,44359080786.00
5,1,A32,Công ty 32,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Giầy dép,5,2021,Đã kiểm toán,41515000000.00,,,66906678336.00,-4580133081.00,1948181818.00,0.00,0.00,4458803530.00,0.00,0.00,0.00,0.00,0.00,-18428000000.00,-18428000000.00,52937481866.00,44359080786.00,2680724.00,97299243376.00
5,1,A32,Công ty 32,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Giầy dép,5,2022,Đã kiểm toán,45146000000.00,,,-15759256355.00,-6429486876.00,0.00,0.00,0.00,4447019851.00,0.00,0.00,0.00,0.00,0.00,-28146580000.00,-28146580000.00,-39458816504.00,97299243376.00,-44335675.00,57796091197.00
5,1,A32,Công ty 32,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Giầy dép,5,2023,Đã kiểm toán,45146000000.00,,,11446689905.00,-7553203392.00,741000000.00,0.00,0.00,4213326353.00,0.00,0.00,0.00,0.00,0.00,-17228290000.00,-17228290000.00,-1568273742.00,57796091197.00,-23978876.00,56203838579.00
5,1,A32,Công ty 32,UPCoM,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Giầy dép,,,,45146000000.00,,,,,,,,,,,,,,,,,,,
5,2,AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",5,2020,Chưa kiểm toán,687500000000.00,287129075280.00,678371452879.00,612538718206.00,-271433582812.00,4112727274.00,-1763101249909.00,2683864408389.00,34701081384.00,569961500000.00,0.00,6929547159005.00,-7365247885274.00,0.00,-108671913000.00,25588860731.00,672828660321.00,291674680985.00,-786219254.00,963717122052.00
5,2,AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",5,2021,Chưa kiểm toán,658750000000.00,315934993090.00,741876253734.00,443620282772.00,-668611230534.00,6450677615.00,-1621059878400.00,2039289323027.00,-150390199871.00,1145712154488.00,0.00,8908162396049.00,-9166083799630.00,0.00,-148545935501.00,739244815406.00,1032474898307.00,963717122052.00,-8021280177.00,1988170740182.00
5,2,AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",5,2022,Chưa kiểm toán,625000000000.00,311000570200.00,591750026987.00,97095210426.00,-168326440417.00,5988373461.00,-627265480000.00,566435708400.00,-1093758714092.00,854220890000.00,0.00,7891352976594.00,-8114479429801.00,0.00,-152250000.00,630942186793.00,-365721316873.00,1988170740182.00,20528629131.00,1642978052440.00
5,2,AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",5,2023,Đã kiểm toán,625000000000.00,330970771702.00,618901175077.00,2615215818513.00,-643183016026.00,8127328351.00,-2260926390806.00,1870983530000.00,-1599360204269.00,0.00,0.00,6422374307663.00,-6658111047622.00,0.00,-127343500.00,-235864083459.00,779991530785.00,1642978052440.00,12088699258.00,2435058282483.00
5,2,AAA,An Phát Bioplastics,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",5,2024,Chưa kiểm toán,625000000000.00,392935082692.00,848054129615.00,694089539672.00,-838759386525.00,23131262833.00,-2373728801178.00,2971976088808.00,-982995774473.00,0.00,0.00,7010231206347.00,-6735784554193.00,-3502410204.00,-10532850000.00,260411391950.00,-28494842851.00,2435058282483.00,12954465473.00,2419517905105.00
